date,outlet,regime_minutes,opposition_minutes,press_freedom_minutes,international_minutes,economy_minutes,other_minutes,total_minutes
2026-02-26,Venevisión,53.61,4.18,6.64,32.43,16.76,49.76,163.38
2026-02-27,Venevisión,36.35,9.75,21.45,37.23,29.92,46.08,180.78
2026-02-28,Venevisión,22.82,6.45,3.59,30.81,9.58,23.67,96.93
2026-03-02,Venevisión,47.87,0.00,5.34,74.93,55.03,20.81,203.98
2026-03-03,Venevisión,47.87,0.00,1.24,32.45,7.69,35.25,124.51
2026-03-04,Venevisión,19.97,7.52,28.77,47.11,21.27,46.83,171.46
2026-03-05,Venevisión,28.55,8.88,3.80,36.53,37.51,46.64,161.91
2026-03-06,Venevisión,16.36,0.00,5.25,62.83,34.87,74.08,193.39
2026-03-07,Venevisión,12.47,3.64,2.95,26.62,17.39,41.31,104.38
2026-03-09,Venevisión,7.82,0.43,0.00,38.49,5.27,14.28,66.29
2026-03-10,Venevisión,32.37,3.89,2.97,23.21,24.23,26.91,113.57
2026-03-11,Venevisión,5.53,3.20,4.63,7.18,7.17,5.57,33.29
2026-03-12,Venevisión,16.95,0.00,5.73,8.25,10.54,5.04,46.51
2026-03-13,Venevisión,9.56,0.00,5.95,10.41,11.26,8.71,45.89
2026-03-14,Venevisión,1.61,0.00,3.21,4.81,2.57,23.75,35.94
2026-03-15,Venevisión,1.99,1.95,1.56,15.89,8.79,13.81,43.99
2026-03-16,Venevisión,9.73,0.00,8.37,21.34,16.75,17.03,73.21
2026-03-17,Venevisión,3.52,1.54,0.00,8.81,7.93,21.35,43.16
2026-03-18,Venevisión,11.36,0.00,0.00,11.79,3.70,15.79,42.63
2026-03-19,Venevisión,3.18,1.65,3.90,10.78,3.12,8.08,30.71
2026-03-20,Venevisión,7.19,0.00,0.00,12.31,6.27,8.77,34.53
2026-03-21,Venevisión,7.01,0.00,0.00,4.28,4.20,20.93,36.42
2026-03-23,Venevisión,14.63,4.57,2.39,20.49,8.20,16.05,66.33
2026-03-24,Venevisión,0.75,2.09,0.00,4.44,6.89,17.93,32.10
2026-03-25,Venevisión,5.21,0.00,2.07,15.47,11.39,11.27,45.42
2026-03-26,Venevisión,7.31,0.00,0.00,15.67,13.44,7.68,44.11
2026-03-27,Venevisión,15.96,0.00,2.16,17.20,7.57,11.17,54.06
2026-03-28,Venevisión,4.60,0.00,0.00,13.66,9.35,20.88,48.49
2026-03-30,Venevisión,3.27,1.40,0.00,11.41,3.49,8.85,28.42
2026-03-31,Venevisión,18.21,0.00,0.00,18.67,8.27,10.87,56.03
2026-04-01,Venevisión,0.00,0.00,0.00,23.56,1.67,27.57,52.81
2026-04-02,Venevisión,1.09,0.00,1.44,5.10,1.20,13.62,22.45
2026-04-03,Venevisión,1.20,0.00,1.99,9.33,1.54,15.02,29.08
2026-04-06,Venevisión,0.36,0.42,0.00,0.51,0.39,4.07,5.75
2026-04-07,Venevisión,0.00,1.22,3.24,5.56,6.78,11.92,28.72
2026-04-08,Venevisión,6.33,5.51,4.41,15.69,10.73,12.11,54.79
2026-04-09,Venevisión,8.28,5.66,0.00,5.42,11.57,3.71,34.64
2026-04-10,Venevisión,3.43,1.47,6.66,7.94,6.97,6.11,32.57
2026-05-09,Venevisión,2.28,0.00,0.00,16.17,7.13,16.65,42.23
