handle,display_name,category,banned_since,banned_reason,tweet_count
la_patilla,La Patilla,Outlet,2017,Domain blocked by CONATEL; operates from outside Venezuela.,60
elnacionalweb,El Nacional,Outlet,2018,Print edition shuttered after government lawsuits; website blocked; operates from Miami.,50
runrunesweb,Runrun.es,Outlet,2017,Investigative outlet repeatedly blocked by CONATEL.,110
OVCSocial,OVCS — Observatorio Venezolano de Conflictividad Social,Monitor,criminalized post-2024,Civic-monitoring NGO targeted under the 2024 anti-NGO law.,63
ForoPenal,Foro Penal Venezolano,Monitor,criminalized post-2024,Legal-aid NGO tracking political detentions; criminalized under anti-NGO law.,86
alfredoromero,Alfredo Romero,Monitor,criminalized post-2024,Director of Foro Penal; criminalized under anti-NGO law.,19
HimiobSantome,Gonzalo Himiob,Monitor,criminalized post-2024,Deputy director of Foro Penal; criminalized under anti-NGO law.,22
espaciopublico,Espacio Público,Monitor,criminalized post-2024,Press-freedom NGO; criminalized under the 2024 anti-NGO law.,455
_Provea,PROVEA,Monitor,raided 2024,Human rights NGO; offices raided 2024 under the anti-NGO law.,173
robertodeniz,Roberto Deniz,Outlet,exiled post-2018,Armando.Info investigative reporter; relocated abroad after regime threats.,100
maibortpetit,Maibort Petit,Outlet,exiled,Venezuelan investigative reporter based in New York; cannot operate inside Venezuela.,189
nelsonbocaranda,Nelson Bocaranda,Outlet,exiled / blocked 2017,Founder of Runrun.es; received threats and reports from Miami; site blocked by CONATEL.,59
ArmandoInfo,Armando.Info,Outlet,exiled post-2018,Investigative outlet; team relocated to Costa Rica/Colombia after regime lawsuits.,75
NTN24ve,NTN24 Venezuela,Outlet,2014,Cable channel taken off Venezuelan cable for covering 2014 protests.,100
DiarioTalCual,TalCual,Outlet,2015,Print edition shut down 2015; digital blocked; operates from outside.,70
